2025-11-14T11:12:03.2321124+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:21:43.7811114+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:21:43.8043697+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:28:19.5075332+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:28:19.5227046+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:35:15.1641767+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:35:15.1834980+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:38:59.7444234+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:38:59.7615892+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:40:44.3545479+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:40:44.3699276+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:49:34.0288062+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:49:34.0463303+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:55:54.4035533+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:55:54.4258007+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:56:47.0181586+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:56:47.0327380+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T12:02:38.6383303+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T12:02:38.6525622+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T12:02:51.9200358+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T12:02:51.9393241+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T12:16:58.3631655+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T12:16:58.3821843+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
